County/ Sub-County,Conventional Households,Mode of Human Waste Disposal (%) Main Sewer, Septic tank,Pool Cess,VIP Latrine,Pit latrine covered,Pit latrine uncovered,Bucket,Open/Bush,Bio-septic tank/Biodigester,Not Stated
HOMA BAY,260290,1.1,1.2,0.1,10.1,62,14.7,0.6,10.2,0,0
HOMA BAY,28471,7.5,2.8,0.1,14.1,55.5,13.6,0.5,6,0.1,0
NDHIWA,47956,0.4,1,0.1,8.4,51.4,16.9,0.9,20.9,0,0
RACHUONYO NORTH,41661,0.2,0.8,0.1,9.3,71.7,12.4,0.4,5,0,0
RACHUONYO EAST,27229,0.4,0.7,0.1,7.1,67.2,19.5,0.5,4.5,0,0
RACHUONYO SOUTH,30693,0.6,2.3,0.1,15.1,63.4,12.9,0.4,5.2,0.1,0
RANGWE,26983,0.1,0.5,0.5,11.5,65.6,14.4,1.3,5.9,0.1,0
SUBA NORTH,29662,0.1,0.9,0.1,7.9,66.5,12.5,0.6,11.5,0,0
SUBA SOUTH,27635,0,0.4,0.1,8.8,57.3,15.3,0.6,17.4,0,0
MIGORI,238133,0.5,1.7,0.2,10.3,62.2,15,0.6,9.4,0.1,0
AWENDO,27014,2.4,1.3,0.2,9.9,67.7,12.3,0.2,5.9,0,0
KURIA EAST,17267,0.1,0.7,0.3,6.1,72.1,16.7,0.8,3.1,0.1,0
KURIA WEST,39723,0.5,2.5,0.3,11.7,58.7,20.2,0.9,5.2,0,0
NYATIKE,39358,0.2,0.8,0.2,8.6,51.7,13.8,0.7,23.9,0,0
RONGO,29007,0.2,1.5,0.1,11,72.8,11.3,0.4,2.6,0.1,0
SUNA EAST,27214,0.7,3.4,0.2,11.1,66.6,13.4,0.4,4.2,0.1,0.1
SUNA WEST,28839,0.3,2.1,0.2,13.9,54.8,15.1,1,12.5,0.1,0
URIRI,29711,0.1,0.7,0.1,8.4,62.6,16.5,0.4,11,0,0
KISII,307254,1.9,2.1,0.3,11,59.6,23.7,0.5,0.9,0,0
ETAGO,18610,0,0.8,0.1,6.6,66.6,24.7,0.3,0.8,0,0
GUCHA,19621,0.5,1.7,0.2,14.5,56.6,24.6,0.8,1,0.1,0
GUCHA SOUTH,19627,0.3,1,0.2,10.3,61.3,25.1,0.8,1,0,0
KENYENYA,30985,0.1,0.8,0.6,8.8,60.5,27.6,0.4,1.2,0,0
KISII CENTRAL,44037,6.7,4.2,0.5,11.4,60.2,16,0.5,0.4,0,0
KISII SOUTH,31574,0.4,2.6,0,10.8,64.8,20.2,0.2,0.8,0.1,0
KITUTU CENTRAL,41233,5.9,5,0.4,16,55,17,0.3,0.3,0.1,0
MARANI,26133,0.1,0.7,0,10.3,58.3,29.3,0.3,0.9,0,0
MASABA SOUTH,29206,0.2,1,0.2,10,62.6,24.8,0.3,0.8,0,0
NYAMACHE,30583,0.3,0.7,0.2,7.5,58,29.6,1.1,2.5,0,0
SAMETA,15645,0.1,0.9,0.1,13.2,49.9,34.4,0.2,1.3,0,0
NYAMIRA,150499,0.3,1.7,0.2,13.3,60.4,22.6,0.5,1,0.1,0
BORABU,19404,0.8,3.6,0,14.8,66.3,12.7,0.5,1.1,0.3,0
MANGA,23836,0.6,1.3,0.3,14.1,62.6,18.7,0.7,1.8,0.1,0
MASABA NORTH,27904,0.1,1.2,0.2,15.4,63,18.7,0.7,0.6,0.1,0
NYAMIRA NORTH,40396,0.2,0.9,0.2,12.1,54.5,30.3,0.4,1.3,0,0
NYAMIRA SOUTH,38959,0.3,2.1,0.2,11.6,60.2,24.8,0.5,0.3,0,0
NAIROBI CITY,1494676,54.3,18.1,0.6,6.3,16.8,2.1,1.3,0.1,0.3,0.1
DAGORETTI,154949,22.9,15.7,0.7,13.1,42.4,4.1,0.9,0.1,0.2,0.1
EMBAKASI,346462,66.1,12.2,0.4,4.3,12.9,1.6,2.1,0.1,0.3,0
KAMUKUNJI,83680,74,8.2,1.7,2.7,9,0.9,2.9,0.1,0.4,0.1
KASARANI,268611,42.2,37.1,0.6,5.3,11.9,2.1,0.6,0,0.2,0
KIBRA,61651,37,5.4,0.3,11.8,38.8,4.7,0.9,0.3,0.8,0
LANG'ATA,60187,54.1,15.4,0.1,7.1,18.5,3.3,0.2,0.3,1,0.1
MAKADARA,70080,77.5,7.1,0.9,2.7,6.7,0.7,4,0.1,0.3,0
MATHARE,74967,73.8,6.9,0.5,5.3,9.2,2.1,1.8,0.1,0.1,0.1
NJIRU,204492,58.1,22.7,0.5,5.7,11.2,1,0.3,0.1,0.3,0.1
STAREHE,66108,63.3,12.4,0.8,6.4,13.2,2.2,1.5,0.1,0.2,0.1
WESTLANDS,103489,45.3,19.5,0.7,8.6,22.4,2.4,0.6,0.2,0.5,0
