County,Population Age 3years and Above,Population Age 3Ownership,Use of Internet,Use of Desktop Computer/Tablet/ Laptop,Bought goods and services online 
25 - 34,229677,188948,76258,28775,8698
35 - 44,164318,137911,42139,15216,4534
45 - 54,117779,99426,23793,9155,2428
55 - 64,91991,73971,12495,4526,1110
65 - 74,54374,38337,4253,1160,233
75+,31327,14653,1271,300,44
Not stated,26,-,-,-,-
VIHIGA,550070,237122,77622,36123,7707
3 - 4,27402,297,159,256,-
5 - 9,78046,936,749,1852,-
10 - 14,87462,1667,1308,2449,-
15 - 24,116163,45149,25573,12379,1875
25 - 34,65459,53435,23517,9060,3012
35 - 44,53539,43250,13030,4964,1501
45 - 54,41327,33932,7410,2992,862
55 - 64,36569,29459,3897,1516,343
65 - 74,26713,19837,1523,526,94
75+,17383,9160,456,129,20
Not stated,7,-,-,-,-
BUNGOMA,1538767,566662,212520,93169,17887
3 - 4,93621,1091,702,738,-
5 - 9,253026,3216,2592,3767,-
10 - 14,266404,5478,4338,4820,-
15 - 24,353878,121039,69641,32342,4827
25 - 34,210584,166187,66947,25921,6735
35 - 44,137140,110961,35171,13310,3510
45 - 54,94022,75216,19169,7604,1820
55 - 64,70179,51988,10086,3631,798
65 - 74,36984,22769,2960,822,154
75+,22922,8717,914,214,43
Not stated,7,-,-,-,-
BUSIA,820788,315440,110560,48050,9885
3 - 4,46928,538,358,364,-
5 - 9,127082,1626,1252,2036,-
10 - 14,138610,2943,2107,2900,-
15 - 24,192584,68798,36194,16467,2491
25 - 34,111989,90862,35811,13512,3906
35 - 44,74305,61448,18482,6732,1952
45 - 54,50959,41093,9363,3684,991
55 - 64,40156,29588,4978,1810,426
65 - 74,23537,13559,1524,409,105
75+,14629,4985,491,136,14
Not stated,9,-,-,-,-
SIAYA,919461,405688,137402,62273,14384
3 - 4,51185,608,376,476,-
5 - 9,137663,1809,1408,2266,-
10 - 14,150820,3409,2620,3297,-
15 - 24,196241,86358,47116,22466,3844
25 - 34,129804,110073,43217,16995,5451
35 - 44,88178,75385,22179,8626,2841
45 - 54,57169,49328,10836,4543,1351
55 - 64,49084,40487,6363,2549,704
65 - 74,36820,27036,2576,842,159
75+,22473,11195,711,213,34
Not stated,24,-,-,-,-
KISUMU,1061224,524515,253425,133433,34033
3 - 4,57138,848,980,1087,-
5 - 9,147269,2623,3381,4482,-
10 - 14,163609,5387,5905,6590,-
15 - 24,245924,128262,84687,46726,9067
25 - 34,183956,163631,83972,39291,14023
35 - 44,111812,100219,42631,19857,6698
45 - 54,60901,54563,18792,9505,2793
55 - 64,46323,39510,9356,4505,1196
65 - 74,29107,21798,2966,1152,223
75+,15159,7674,755,238,33
Not stated,26,-,-,-,-
HOMA BAY,1037468,426084,157625,70162,15965
3 - 4,67068,920,536,583,-
5 - 9,166620,2567,1791,2384,-
10 - 14,180685,4998,3433,3561,-
15 - 24,231182,100406,56089,26255,4598
25 - 34,148284,124267,49464,20133,6186
35 - 44,93035,80061,25293,9644,2958
45 - 54,55327,47260,11405,4387,1357
55 - 64,46079,37024,6382,2348,693
65 - 74,31456,21158,2505,684,148
75+,17724,7423,727,183,25
Not stated,8,-,-,-,-
MIGORI,1016399,381265,145208,62426,14080
3 - 4,68381,882,499,551,-
5 - 9,171191,2650,1642,2195,-
10 - 14,178634,4520,2731,3108,-
15 - 24,233606,94039,52377,23465,4244
25 - 34,150819,119581,47446,18323,5461
35 - 44,87121,71444,22679,8280,2577
45 - 54,53367,42891,10481,4123,1205
55 - 64,37344,27376,5021,1783,449
65 - 74,22590,13322,1826,481,119
75+,13331,4560,506,117,25
Not stated,15,-,-,-,-
KISII,1179067,516635,188888,92025,16800
3 - 4,61747,1011,569,771,-
5 - 9,171688,2928,2138,4021,-
10 - 14,194856,4957,3873,5590,-
15 - 24,250997,108020,66133,34111,4859
25 - 34,183228,153561,61604,25812,6798
35 - 44,113487,95564,29216,11912,3007
45 - 54,76902,64190,14256,6106,1432
55 - 64,69050,54440,8201,2927,587
65 - 74,36895,23854,2248,605,98
75+,20204,8110,650,170,19
Not stated,13,-,-,-,-
NYAMIRA,566741,257227,90354,42183,7907
3 - 4,28025,498,411,352,-
5 - 9,78698,1620,1372,1882,-
10 - 14,93365,2879,2292,2597,-
15 - 24,114177,47700,29864,15595,2450
25 - 34,86511,72177,27176,10700,2914
35 - 44,59159,50211,14163,5352,1359
45 - 54,40501,34292,8114,3269,724
55 - 64,36024,29228,4943,1840,377
65 - 74,19473,13508,1502,455,71
75+,10806,5114,517,141,12
Not stated,2,-,-,-,-
NAIROBI CITY,4010447,2772719,2100763,1124363,421094
3 - 4,195576,7054,16966,13806,-
5 - 9,430794,21773,52196,51703,-
10 - 14,375090,40214,67616,61693,-
15 - 24,900547,688099,574626,311630,99461
25 - 34,1062332,1014563,754936,364570,180448
35 - 44,588622,566197,384298,185628,87750
45 - 54,282989,273118,167906,88750,37141
55 - 64,117868,112516,60453,34065,12474
65 - 74,41603,38147,17665,10124,3182
75+,14900,11036,4093,2388,637
Not stated,126,2,8,6,1
